date,region,demand_mwh
2024-08-14,Mountain Grid,121.825
2024-08-15,Mountain Grid,122.331
2024-08-16,Mountain Grid,122.853
2024-08-17,Mountain Grid,122.954
2024-08-18,Mountain Grid,117.668
2024-08-19,Mountain Grid,119.336
2024-08-20,Mountain Grid,118.908
2024-08-21,Mountain Grid,118.614
2024-08-22,Mountain Grid,124.513
2024-08-23,Mountain Grid,121.928
2024-08-24,Mountain Grid,118.835
2024-08-25,Mountain Grid,124.758
2024-08-26,Mountain Grid,128.588
2024-08-27,Mountain Grid,127.262
2024-08-28,Mountain Grid,122.658
2024-08-29,Mountain Grid,126.356
2024-08-30,Mountain Grid,131.715
2024-08-31,Mountain Grid,128.483
2024-09-01,Mountain Grid,132.382
2024-09-02,Mountain Grid,134.301
2024-09-03,Mountain Grid,131.42
2024-09-04,Mountain Grid,134.293
2024-09-05,Mountain Grid,127.676
2024-09-06,Mountain Grid,133.277
2024-09-07,Mountain Grid,135.344
2024-09-08,Mountain Grid,133.127
2024-09-09,Mountain Grid,139.601
2024-09-10,Mountain Grid,132.19
2024-09-11,Mountain Grid,133.892
2024-09-12,Mountain Grid,134.439
2024-06-15,Capital Grid,137.315
2024-06-16,Capital Grid,132.025
2024-06-17,Capital Grid,139.293
2024-06-18,Capital Grid,137.859
2024-06-19,Capital Grid,136.689
2024-06-20,Capital Grid,140.984
2024-06-21,Capital Grid,141.19
2024-06-22,Capital Grid,139.975
2024-06-23,Capital Grid,141.936
2024-06-24,Capital Grid,141.094
2024-06-25,Capital Grid,142.224
2024-06-26,Capital Grid,143.249
2024-06-27,Capital Grid,144.922
2024-06-28,Capital Grid,137.774
2024-06-29,Capital Grid,144.691
2024-06-30,Capital Grid,134.298
2024-07-01,Capital Grid,137.309
2024-07-02,Capital Grid,137.78
2024-07-03,Capital Grid,135.775
2024-07-04,Capital Grid,132.367
2024-07-05,Capital Grid,131.997
2024-07-06,Capital Grid,130.06
2024-07-07,Capital Grid,128.634
2024-07-08,Capital Grid,130.851
2024-07-09,Capital Grid,128.767
2024-07-10,Capital Grid,125.568
2024-07-11,Capital Grid,128.637
2024-07-12,Capital Grid,126.887
2024-07-13,Capital Grid,127.878
2024-07-14,Capital Grid,127.507
2024-07-15,Capital Grid,124.422
2024-07-16,Capital Grid,125.523
2024-07-17,Capital Grid,129.212
2024-07-18,Capital Grid,129.76
2024-07-19,Capital Grid,129.326
2024-07-20,Capital Grid,130.791
2024-07-21,Capital Grid,134.703
2024-07-22,Capital Grid,131.709
2024-07-23,Capital Grid,135.659
2024-07-24,Capital Grid,135.256
2024-07-25,Capital Grid,136.493
2024-07-26,Capital Grid,140.71
2024-07-27,Capital Grid,141.154
2024-07-28,Capital Grid,142.055
2024-07-29,Capital Grid,143.943
2024-07-30,Capital Grid,141.552
2024-07-31,Capital Grid,143.429
2024-08-01,Capital Grid,141.285
2024-08-02,Capital Grid,142.66
2024-08-03,Capital Grid,141.313
2024-08-04,Capital Grid,141.321
2024-08-05,Capital Grid,141.757
2024-08-06,Capital Grid,137.619
2024-08-07,Capital Grid,143.273
2024-08-08,Capital Grid,134.983
2024-08-09,Capital Grid,133.249
2024-08-10,Capital Grid,137.394
2024-08-11,Capital Grid,135.22
2024-08-12,Capital Grid,133.519
2024-08-13,Capital Grid,132.267
2024-08-14,Capital Grid,129.62
2024-08-15,Capital Grid,126.531
2024-08-16,Capital Grid,127.865
2024-08-17,Capital Grid,125.405
2024-08-18,Capital Grid,128.672
2024-08-19,Capital Grid,125.767
2024-08-20,Capital Grid,124.101
2024-08-21,Capital Grid,125.378
2024-08-22,Capital Grid,127.402
2024-08-23,Capital Grid,125.7
2024-08-24,Capital Grid,125.844
2024-08-25,Capital Grid,129.207
2024-08-26,Capital Grid,130.271
2024-08-27,Capital Grid,129.721
2024-08-28,Capital Grid,131.069
2024-08-29,Capital Grid,134.003
2024-08-30,Capital Grid,131.47
2024-08-31,Capital Grid,132.873
2024-09-01,Capital Grid,135.709
2024-09-02,Capital Grid,138.028
2024-09-03,Capital Grid,140.267
2024-09-04,Capital Grid,143.824
2024-09-05,Capital Grid,143.103
2024-09-06,Capital Grid,141.266
2024-09-07,Capital Grid,141.881
2024-09-08,Capital Grid,139.691
2024-09-09,Capital Grid,141.804
2024-09-10,Capital Grid,140.815
2024-09-11,Capital Grid,141.647
2024-09-12,Capital Grid,138.236
